id,created_at,scale,T,pH,F1,F2,F3,Y,cost_eur,projected_pilot_Y,measured_pilot_Y,cumulative_best_projected_pilot_Y,cumulative_best_T,cumulative_best_pH,cumulative_best_F1,cumulative_best_F2,cumulative_best_F3,best_projected_pilot_Y,best_T,best_pH,best_F1,best_F2,best_F3
520346,2026-07-11T11:16:17.550707+00:00,micro,33.45164363917543,5.900847987710399,1.80471456534226,1.356911878884542,1.9960837091535573,0.2285526470253655,10,2.2953335799823966,2.4162457473047643,2.591102915773938,37.006987616697,5.571340752749599,1.998212260631987,1.254996163599713,1.994151908888192,2.591102915773938,37.006987616697,5.571340752749599,1.998212260631987,1.254996163599713,1.994151908888192
520359,2026-07-11T11:16:21.209931+00:00,micro,35.07734381791853,6.73210571223295,1.800293813099079,1.182547242369939,1.999911434967126,0.2517085824671121,10,2.5278865470431833,3.5835469620822344,2.591102915773938,37.006987616697,5.571340752749599,1.998212260631987,1.254996163599713,1.994151908888192,2.591102915773938,37.006987616697,5.571340752749599,1.998212260631987,1.254996163599713,1.994151908888192
520364,2026-07-11T11:16:24.741795+00:00,micro,33.32752557254732,5.589381753115272,1.973037046280173,1.192095753116745,1.978710737208408,0.229284667336986,10,2.302685193819996,2.4787143702146994,2.591102915773938,37.006987616697,5.571340752749599,1.998212260631987,1.254996163599713,1.994151908888192,2.591102915773938,37.006987616697,5.571340752749599,1.998212260631987,1.254996163599713,1.994151908888192
520367,2026-07-11T11:16:28.678657+00:00,micro,33.45740606229376,6.137014558748305,1.797143515402698,1.2105243245910056,1.9939954737155683,0.2144662450759541,10,2.153865118179698,2.280648581460063,2.591102915773938,37.006987616697,5.571340752749599,1.998212260631987,1.254996163599713,1.994151908888192,2.591102915773938,37.006987616697,5.571340752749599,1.998212260631987,1.254996163599713,1.994151908888192
520372,2026-07-11T11:16:32.803143+00:00,micro,37.06352235945069,5.896016992334796,1.750827347260954,1.2229909709404123,1.988388344185808,0.2569143696942517,10,2.580167797723123,3.192364912183085,2.591102915773938,37.006987616697,5.571340752749599,1.998212260631987,1.254996163599713,1.994151908888192,2.591102915773938,37.006987616697,5.571340752749599,1.998212260631987,1.254996163599713,1.994151908888192
520379,2026-07-11T11:16:37.002970+00:00,micro,38.7789425821083,6.084859395290664,1.964570186411592,1.1454504429307717,1.9970929998900733,0.1753697290116516,10,1.7612223404622511,1.9922641845838136,2.591102915773938,37.006987616697,5.571340752749599,1.998212260631987,1.254996163599713,1.994151908888192,2.591102915773938,37.006987616697,5.571340752749599,1.998212260631987,1.254996163599713,1.994151908888192
520382,2026-07-11T11:16:40.687370+00:00,micro,35.80519123839502,5.506131165881897,1.9225165962207804,1.3591536247606406,1.997901921046623,0.3290552538617054,10,3.3046721781112423,5.259420200017826,3.3046721781112423,35.80519123839502,5.506131165881897,1.9225165962207804,1.3591536247606406,1.997901921046623,3.3046721781112423,35.80519123839502,5.506131165881897,1.9225165962207804,1.3591536247606406,1.997901921046623
520386,2026-07-11T11:16:44.343848+00:00,micro,35.03753173289751,6.201834522760262,1.7018814792660175,1.2152430285523583,1.9969414129295813,0.2935020374810259,10,2.9476144389116743,3.108359565624176,3.3046721781112423,35.80519123839502,5.506131165881897,1.9225165962207804,1.3591536247606406,1.997901921046623,3.3046721781112423,35.80519123839502,5.506131165881897,1.9225165962207804,1.3591536247606406,1.997901921046623
520389,2026-07-11T11:16:48.117324+00:00,micro,38.0158911496436,5.304644298553695,1.8945078956474093,1.3413269248001891,1.9912934856534463,0.2233911027405088,10,2.2434966571736092,2.2582423959810787,3.3046721781112423,35.80519123839502,5.506131165881897,1.9225165962207804,1.3591536247606406,1.997901921046623,3.3046721781112423,35.80519123839502,5.506131165881897,1.9225165962207804,1.3591536247606406,1.997901921046623
520393,2026-07-11T11:16:52.304767+00:00,micro,34.2242583318144,6.237123805396726,1.3945326956483268,1.388177018162672,1.997418754281384,0.2346734823091027,10,2.3568045756026916,2.557906147725485,3.3046721781112423,35.80519123839502,5.506131165881897,1.9225165962207804,1.3591536247606406,1.997901921046623,3.3046721781112423,35.80519123839502,5.506131165881897,1.9225165962207804,1.3591536247606406,1.997901921046623
